run_id,model,session_id,persona,n_trials,alpha,beta,nll,converged
79,deepseek,30,exploratory,100,0.0106123072285236,0.572612421922009,138.434759344171,True
80,deepseek,31,exploratory,100,0.00727678268498114,0.0328997996106732,138.629228405242,True
81,deepseek,32,exploratory,100,0.0101275347246426,0.106665828278559,138.625928073033,True
82,deepseek,33,exploratory,100,0.0001,0.0001,138.629436194652,True
83,deepseek,34,exploratory,100,0.0001,0.0001,138.62943615455,True
84,deepseek,35,exploratory,100,0.00012454489737944,18.2539463170498,138.528557983476,True
85,deepseek,36,exploratory,100,0.0884561262596245,0.0233691271402918,138.618565279288,True
86,deepseek,37,exploratory,100,0.0189152567532388,0.117295374034719,138.606674690687,True
87,deepseek,38,exploratory,100,0.000252083857467253,8.80777587193849,138.589690010401,True
88,deepseek,39,exploratory,100,0.0031547926618656,1.71034428771788,138.439098526366,True
89,deepseek,40,exploratory,100,0.282890535580317,0.0228188918563174,138.608846880707,True
90,deepseek,41,exploratory,100,0.000285891260432139,4.78338105336753,138.514560555301,True
91,deepseek,42,exploratory,100,0.000178831665857558,9.90752429229524,138.596147474036,True
92,deepseek,43,exploratory,100,0.0001,0.0001,138.629436161831,True
93,deepseek,44,exploratory,100,0.000576340160228155,0.221625662032917,138.628547254622,True
94,deepseek,45,exploratory,100,0.0001,0.0001,138.629436174255,True
95,deepseek,46,exploratory,100,0.022211640572606,0.101486043651055,138.59521899989,True
96,deepseek,47,exploratory,100,0.000351032349253592,8.84062696941952,138.60956269242,True
97,deepseek,48,exploratory,100,0.0001,0.0001,138.629436314279,True
98,deepseek,49,exploratory,100,0.0351039395309232,0.177587366102119,138.5001734668,True
99,deepseek,50,exploratory,100,0.0216072275470477,0.194163904274376,138.5760564906,True
100,deepseek,1,disengaged,100,0.0001,0.0001,138.629436758135,True
101,deepseek,2,disengaged,100,0.336199806023793,0.128850167483869,136.728402629875,True
102,deepseek,3,disengaged,100,0.000641144986065621,5.48235115315481,138.523279006796,True
103,deepseek,4,disengaged,100,0.230725209937644,0.150304400909829,135.601558442789,True
104,deepseek,5,disengaged,100,0.000135795273406205,67.5978645082465,138.258391259415,True
105,deepseek,6,disengaged,100,0.0868019619680305,0.639882743192097,132.004000071449,True
106,deepseek,7,disengaged,100,0.0001,0.0001,138.629436754147,True
107,deepseek,8,disengaged,100,0.0454395316030397,0.357804888065582,138.310613704791,True
108,deepseek,9,disengaged,100,0.126819685770182,0.242275190330754,137.690074066999,True
109,deepseek,10,disengaged,100,0.0123655927880149,0.110494039742083,138.61826536228,True
