run_id,session_id,variant,n_trials,alpha,beta,nll,converged
169,170,1,100,0.046756312504027585,15.819956929327802,29.580124730366766,True
170,171,1,100,0.9999,0.8465285400695964,45.01598563930059,True
171,172,1,100,0.1881024228018104,2.7435020633580027,66.1979043233809,True
172,173,1,100,0.2096587501688127,5.06238966866987,18.518841348384328,True
173,174,1,100,0.00209633739899128,100.0,69.17794288004907,True
174,175,1,100,0.2598905511644552,2.3136067816141472,50.82306309636789,True
175,176,1,100,0.0868775692025505,7.096177808636581,42.73427085864088,True
176,177,1,100,0.9757387513079594,1.02047618969844,43.786671302160784,True
177,178,1,100,0.5122920601020977,1.597401671693896,52.87782127114932,True
178,179,1,100,0.08745804048993176,8.321693972672113,22.217238510811654,True
179,180,1,100,0.07029813503139055,18.999788008267167,21.544794426544602,True
180,181,1,100,0.03489957446840013,16.67383515256298,19.758031198747346,True
181,182,1,100,0.10813982430073163,8.189188560365773,23.987521139894614,True
182,183,1,100,0.5116351784134714,2.6276649061337163,27.576244819204415,True
183,184,1,100,0.0017575727331834282,100.0,52.28303698480509,True
184,185,1,100,0.04632466847212684,13.973756662997092,32.76891277243464,True
185,186,1,100,0.06128639180374437,11.630784809291889,11.977888962278884,True
186,187,1,100,0.7060588286125067,0.800497293086494,64.81189173952986,True
187,188,1,100,0.13459943139615382,8.09442861415461,19.350223020810848,True
188,189,1,100,0.005098327226076341,94.67370714646374,37.240616824810004,True
189,190,1,100,0.00625127047368066,100.0,12.158144620082183,True
190,191,1,100,0.08146725598489712,8.266146291789692,24.454746893647773,True
191,192,1,100,0.08293682870688338,6.349401231560802,26.934141498619752,True
192,193,1,100,0.051071297607111536,11.93479782678368,36.72235641015619,True
193,194,1,100,0.0842105011870478,11.063640303690287,24.28804767448279,True
194,195,1,100,0.35043511621870815,2.493651132547829,47.10116679027839,True
195,196,1,100,0.03619909297627901,14.479330478029828,39.236835442129006,True
196,197,1,100,0.008052849355462606,100.0,7.8748983984835705,True
197,198,1,100,0.10976632480216944,6.952654534031631,22.930983958823447,True
198,199,1,100,0.051359274629781994,13.655124823393557,21.337017250524156,True
199,200,1,100,0.9999,0.8323589746778798,67.66631618829248,True
200,1,2,100,0.03703573377847858,25.077058040219484,25.343761585121083,True
201,2,2,100,0.9274720203392935,0.5548461254870883,87.47956427927073,True
202,3,2,100,0.81932082409842,1.2395104385573945,53.298904368637885,True
203,4,2,100,0.22303860677537402,4.842255106006101,20.265133218994595,True
204,5,2,100,0.09535882712260377,12.261881884904488,23.28865019024319,True
205,6,2,100,0.07493289620344423,42.693859795734284,7.44029322037169,True
206,7,2,100,0.07700159409982588,14.959296408141906,9.048717504695958,True
207,8,2,100,0.025483245893579025,15.275010949361935,45.13004321134549,True
208,9,2,100,0.009463302011374103,23.557398807759444,48.55872215548489,True
209,10,2,100,0.6744413509226833,1.4218523586842613,54.60532376163837,True
210,11,2,100,0.17760095898340228,4.01157212581552,18.899428312912722,True
211,12,2,100,0.008710206796520016,100.0,10.55616042693637,True
