run_id,model,session_id,persona,n_trials,alpha,beta,nll,converged
66,gemini,17,exploratory,100,0.000213022772924416,2.94993724317772,138.609930981262,True
67,gemini,18,exploratory,100,0.0118978025402012,0.0651119838603346,138.625628367484,True
68,gemini,19,exploratory,100,0.228372296367617,0.0137499841743104,138.620656751298,True
69,gemini,20,exploratory,100,0.00770689452269839,0.0748044086990537,138.627027660005,True
70,gemini,21,exploratory,100,0.0001,0.0001,138.629436179462,True
71,gemini,22,exploratory,100,0.000270585378925788,7.66503255633073,138.613272896655,True
72,gemini,23,exploratory,100,0.0175536000919825,0.112958887317065,138.615129534553,True
73,gemini,24,exploratory,100,0.00657296361185786,0.0665431979877061,138.628525019621,True
74,gemini,25,exploratory,100,0.000225321765197666,7.06263541740569,138.599163248739,False
75,gemini,26,exploratory,100,0.0087420486122341,0.0488971770675683,138.626075205771,True
76,gemini,27,exploratory,100,0.00786418397611144,0.0847538229604076,138.626762623882,True
77,gemini,28,exploratory,100,0.0001,0.0001,138.629436152064,True
78,gemini,29,exploratory,100,0.0001,0.0001,138.629436171921,True
79,gemini,30,exploratory,100,0.00992267250420572,0.0585594164515112,138.626890176097,True
80,gemini,31,exploratory,100,0.000739206514357814,1.3029606085667,138.618667847419,True
81,gemini,32,exploratory,100,0.0218259290475254,0.0541229489759332,138.618681593707,True
82,gemini,33,exploratory,100,0.0127064374920487,0.0917108470502652,138.61539239953,True
83,gemini,34,exploratory,100,0.0167241966196376,0.138683985170294,138.622105893111,True
84,gemini,35,exploratory,100,0.010032916436431,0.101502583103499,138.61802778244,True
85,gemini,36,exploratory,100,0.000198185075466147,3.5230369981213,138.615006709943,True
86,gemini,37,exploratory,100,0.0001,0.0001,138.629436364092,True
87,gemini,38,exploratory,100,0.120262138230511,0.0287270725039817,138.599139730032,True
88,gemini,39,exploratory,100,0.0001,0.0001,138.629436142142,True
89,gemini,40,exploratory,100,0.0144787899536079,0.0648446010915087,138.62565126505,True
90,gemini,41,exploratory,100,0.0001,0.0001,138.62943620184,True
